省份,年份,招生代码,大学名称,专业代码,专业名称,科类,批次,最低分,平均分,最高分,最低位次,录取人数
福建,2018,5260,中山大学,28,预防医学,理科,本一批,636,637,637,1627,2
福建,2018,5260,中山大学,29,药学,理科,本一批,639,645,650,1441,4
福建,2018,5260,中山大学,30,工商管理类(含:工商管理、会计学),理科,本一批,635,638,642,1700,3
福建,2018,5260,中山大学,31,会计学,理科,本一批,647,647,647,1006,2
福建,2018,5260,中山大学,01,哲学,文科,本一批,635,637,639,370,2
福建,2018,5260,中山大学,02,经济学类(含:金融学、经济学),文科,本一批,646,646,646,169,2
福建,2018,5260,中山大学,03,金融学,文科,本一批,638,639,640,305,2
福建,2018,5260,中山大学,04,法学,文科,本一批,641,641,641,247,2
福建,2018,5260,中山大学,05,人类学,文科,本一批,636,637,637,346,2
福建,2018,5260,中山大学,06,汉语言文学,文科,本一批,639,640,641,285,3
福建,2018,5260,中山大学,07,外国语言文学类(含:英语、阿拉伯语、西班牙语、朝鲜语、俄语),文科,本一批,635,638,640,370,3
福建,2018,5260,中山大学,08,德语,文科,本一批,635,636,636,370,2
福建,2018,5260,中山大学,09,新闻传播学类(含:新闻学、传播学),文科,本一批,639,642,645,285,2
福建,2018,5260,中山大学,10,历史学,文科,本一批,634,634,635,391,3
福建,2018,5260,中山大学,11,工商管理类(含:工商管理、会计学),文科,本一批,643,643,643,211,2
福建,2018,5260,中山大学,12,会计学,文科,本一批,642,643,644,234,2
福建,2018,5260,中山大学,13,图书情报与档案管理类(含:图书馆学、档案学),文科,本一批,633,634,635,412,3
福建,2018,5260,中山大学,14,旅游管理类(含:旅游管理、会展经济与管理),文科,本一批,633,636,638,412,2
福建,2018,5104,吉林大学,01,经济学类(经济学院(含:经济学、财政学、金融学、国际经济与贸易)),理科,本一批,605,608,611,4487,4
福建,2018,5104,吉林大学,02,数学类(含:数学与应用数学、信息与计算科学、统计学、金融数学),理科,本一批,604,610,617,4609,4
福建,2018,5104,吉林大学,03,物理学类(含:物理学、应用物理学、核物理、光电信息科学与工程),理科,本一批,603,604,606,4741,4
福建,2018,5104,吉林大学,04,机械类(含:机械工程、工程力学、工业工程),理科,本一批,600,601,602,5127,7
福建,2018,5104,吉林大学,05,车辆工程,理科,本一批,603,605,608,4741,3
福建,2018,5104,吉林大学,06,电子信息类(电子科学与工程学院),理科,本一批,602,603,604,4869,5
福建,2018,5104,吉林大学,07,通信工程,理科,本一批,603,604,604,4741,2
福建,2018,5104,吉林大学,08,计算机类,理科,本一批,603,607,613,4741,9
福建,2018,5104,吉林大学,09,软件工程,理科,本一批,602,604,606,4869,4
福建,2018,5104,吉林大学,10,土木类(含:土木工程、地质工程),理科,本一批,599,601,605,5288,6
福建,2018,5104,吉林大学,11,水利类(含:水文与水资源工程、地下水科学与工程),理科,本一批,598,599,601,5440,4
福建,2018,5104,吉林大学,12,地质类(含:地理科学、地质学、资源勘查工程、土地资源管理),理科,本一批,599,600,606,5288,6
福建,2018,5104,吉林大学,13,交通运输类(含:交通运输、交通工程、道路桥梁与渡河工程、汽车服务工程、物流工程),理科,本一批,599,600,602,5288,5
福建,2018,5104,吉林大学,14,临床医学(5+3医(儿科学)),理科,本一批,604,606,607,4609,2
福建,2018,5104,吉林大学,15,临床医学,理科,本一批,607,608,611,4259,4
福建,2018,5104,吉林大学,16,口腔医学,理科,本一批,615,617,619,3351,2
